--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=000000008000010c inst=00128293 src1=0000000000000028 src2=0000000000000001 res=0000000000000029
CORE EXECUTE: pc=0000000080000110 inst=00128293 src1=0000000000000029 src2=0000000000000001 res=000000000000002a
CORE EXECUTE: pc=0000000080000114 inst=00128293 src1=000000000000002a src2=0000000000000001 res=000000000000002b
CORE EXECUTE: pc=0000000080000118 inst=00128293 src1=000000000000002b src2=0000000000000001 res=000000000000002c
CORE EXECUTE: pc=000000008000011c inst=00128293 src1=000000000000002c src2=0000000000000001 res=000000000000002d
CORE EXECUTE: pc=0000000080000120 inst=00128293 src1=000000000000002d src2=0000000000000001 res=000000000000002e
CORE EXECUTE: pc=0000000080000124 inst=00128293 src1=000000000000002e src2=0000000000000001 res=000000000000002f
CORE EXECUTE: pc=0000000080000128 inst=00128293 src1=000000000000002f src2=0000000000000001 res=0000000000000030
CORE EXECUTE: pc=000000008000012c inst=00128293 src1=0000000000000030 src2=0000000000000001 res=0000000000000031
CORE EXECUTE: pc=0000000080000130 inst=00128293 src1=0000000000000031 src2=0000000000000001 res=0000000000000032
CORE EXECUTE: pc=0000000080000134 inst=00128293 src1=0000000000000032 src2=0000000000000001 res=0000000000000033
CORE EXECUTE: pc=0000000080000138 inst=00128293 src1=0000000000000033 src2=0000000000000001 res=0000000000000034
CORE EXECUTE: pc=000000008000013c inst=00128293 src1=0000000000000034 src2=0000000000000001 res=0000000000000035
CORE EXECUTE: pc=0000000080000140 inst=00128293 src1=0000000000000035 src2=0000000000000001 res=0000000000000036
CORE EXECUTE: pc=0000000080000144 inst=00128293 src1=0000000000000036 src2=0000000000000001 res=0000000000000037
CORE EXECUTE: pc=0000000080000148 inst=00128293 src1=0000000000000037 src2=0000000000000001 res=0000000000000038
CORE EXECUTE: pc=000000008000014c inst=00128293 src1=0000000000000038 src2=0000000000000001 res=0000000000000039
CORE EXECUTE: pc=0000000080000150 inst=00128293 src1=0000000000000039 src2=0000000000000001 res=000000000000003a
CORE EXECUTE: pc=0000000080000154 inst=00128293 src1=000000000000003a src2=0000000000000001 res=000000000000003b
CORE EXECUTE: pc=0000000080000158 inst=00128293 src1=000000000000003b src2=0000000000000001 res=000000000000003c
CORE EXECUTE: pc=000000008000015c inst=00128293 src1=000000000000003c src2=0000000000000001 res=000000000000003d
CORE EXECUTE: pc=0000000080000160 inst=00128293 src1=000000000000003d src2=0000000000000001 res=000000000000003e
CORE EXECUTE: pc=0000000080000164 inst=00128293 src1=000000000000003e src2=0000000000000001 res=000000000000003f
CORE EXECUTE: pc=0000000080000168 inst=00128293 src1=000000000000003f src2=0000000000000001 res=0000000000000040
CORE EXECUTE: pc=000000008000016c inst=00128293 src1=0000000000000040 src2=0000000000000001 res=0000000000000041
CORE EXECUTE: pc=0000000080000170 inst=00128293 src1=0000000000000041 src2=0000000000000001 res=0000000000000042
CORE EXECUTE: pc=0000000080000174 inst=00128293 src1=0000000000000042 src2=0000000000000001 res=0000000000000043
CORE EXECUTE: pc=0000000080000178 inst=00128293 src1=0000000000000043 src2=0000000000000001 res=0000000000000044
CORE EXECUTE: pc=000000008000017c inst=00128293 src1=0000000000000044 src2=0000000000000001 res=0000000000000045
CORE EXECUTE: pc=0000000080000180 inst=00128293 src1=0000000000000045 src2=0000000000000001 res=0000000000000046
CORE EXECUTE: pc=0000000080000184 inst=00128293 src1=0000000000000046 src2=0000000000000001 res=0000000000000047
CORE EXECUTE: pc=0000000080000188 inst=00128293 src1=0000000000000047 src2=0000000000000001 res=0000000000000048
CORE EXECUTE: pc=000000008000018c inst=00128293 src1=0000000000000048 src2=0000000000000001 res=0000000000000049
CORE EXECUTE: pc=0000000080000190 inst=00128293 src1=0000000000000049 src2=0000000000000001 res=000000000000004a
CORE EXECUTE: pc=0000000080000194 inst=00128293 src1=000000000000004a src2=0000000000000001 res=000000000000004b
CORE EXECUTE: pc=0000000080000198 inst=00128293 src1=000000000000004b src2=0000000000000001 res=000000000000004c
CORE EXECUTE: pc=000000008000019c inst=00128293 src1=000000000000004c src2=0000000000000001 res=000000000000004d
CORE EXECUTE: pc=00000000800001a0 inst=00128293 src1=000000000000004d src2=0000000000000001 res=000000000000004e
CORE EXECUTE: pc=00000000800001a4 inst=00128293 src1=000000000000004e src2=0000000000000001 res=000000000000004f
CORE EXECUTE: pc=00000000800001a8 inst=00128293 src1=000000000000004f src2=0000000000000001 res=0000000000000050
CORE EXECUTE: pc=00000000800001ac inst=00128293 src1=0000000000000050 src2=0000000000000001 res=0000000000000051
CORE EXECUTE: pc=00000000800001b0 inst=00128293 src1=0000000000000051 src2=0000000000000001 res=0000000000000052
CORE EXECUTE: pc=00000000800001b4 inst=00128293 src1=0000000000000052 src2=0000000000000001 res=0000000000000053
CORE EXECUTE: pc=00000000800001b8 inst=00128293 src1=0000000000000053 src2=0000000000000001 res=0000000000000054
CORE EXECUTE: pc=00000000800001bc inst=00128293 src1=0000000000000054 src2=0000000000000001 res=0000000000000055
CORE EXECUTE: pc=00000000800001c0 inst=00128293 src1=0000000000000055 src2=0000000000000001 res=0000000000000056
CORE EXECUTE: pc=00000000800001c4 inst=00128293 src1=0000000000000056 src2=0000000000000001 res=0000000000000057
CORE EXECUTE: pc=00000000800001c8 inst=00128293 src1=0000000000000057 src2=0000000000000001 res=0000000000000058
CORE EXECUTE: pc=00000000800001cc inst=00128293 src1=0000000000000058 src2=0000000000000001 res=0000000000000059
CORE EXECUTE: pc=00000000800001d0 inst=00128293 src1=0000000000000059 src2=0000000000000001 res=000000000000005a
CORE EXECUTE: pc=00000000800001d4 inst=00128293 src1=000000000000005a src2=0000000000000001 res=000000000000005b
CORE EXECUTE: pc=00000000800001d8 inst=00128293 src1=000000000000005b src2=0000000000000001 res=000000000000005c
CORE EXECUTE: pc=00000000800001dc inst=00128293 src1=000000000000005c src2=0000000000000001 res=000000000000005d
CORE EXECUTE: pc=00000000800001e0 inst=00128293 src1=000000000000005d src2=0000000000000001 res=000000000000005e
CORE EXECUTE: pc=00000000800001e4 inst=00128293 src1=000000000000005e src2=0000000000000001 res=000000000000005f
CORE EXECUTE: pc=00000000800001e8 inst=00128293 src1=000000000000005f src2=0000000000000001 res=0000000000000060
CORE EXECUTE: pc=00000000800001ec inst=00128293 src1=0000000000000060 src2=0000000000000001 res=0000000000000061
CORE EXECUTE: pc=00000000800001f0 inst=00128293 src1=0000000000000061 src2=0000000000000001 res=0000000000000062
CORE EXECUTE: pc=00000000800001f4 inst=00128293 src1=0000000000000062 src2=0000000000000001 res=0000000000000063
CORE EXECUTE: pc=00000000800001f8 inst=00128293 src1=0000000000000063 src2=0000000000000001 res=0000000000000064
CORE EXECUTE: pc=00000000800001fc inst=00128293 src1=0000000000000064 src2=0000000000000001 res=0000000000000065
CORE EXECUTE: pc=0000000080000200 inst=00128293 src1=0000000000000065 src2=0000000000000001 res=0000000000000066
CORE EXECUTE: pc=0000000080000204 inst=00128293 src1=0000000000000066 src2=0000000000000001 res=0000000000000067
CORE EXECUTE: pc=0000000080000208 inst=00128293 src1=0000000000000067 src2=0000000000000001 res=0000000000000068
CORE EXECUTE: pc=000000008000020c inst=00128293 src1=0000000000000068 src2=0000000000000001 res=0000000000000069
CORE EXECUTE: pc=0000000080000210 inst=00128293 src1=0000000000000069 src2=0000000000000001 res=000000000000006a
CORE EXECUTE: pc=0000000080000214 inst=00128293 src1=000000000000006a src2=0000000000000001 res=000000000000006b
CORE EXECUTE: pc=0000000080000218 inst=00128293 src1=000000000000006b src2=0000000000000001 res=000000000000006c
CORE EXECUTE: pc=000000008000021c inst=00128293 src1=000000000000006c src2=0000000000000001 res=000000000000006d
CORE EXECUTE: pc=0000000080000220 inst=00128293 src1=000000000000006d src2=0000000000000001 res=000000000000006e
CORE EXECUTE: pc=0000000080000224 inst=00128293 src1=000000000000006e src2=0000000000000001 res=000000000000006f
CORE EXECUTE: pc=0000000080000228 inst=00128293 src1=000000000000006f src2=0000000000000001 res=0000000000000070
CORE EXECUTE: pc=000000008000022c inst=00128293 src1=0000000000000070 src2=0000000000000001 res=0000000000000071
CORE EXECUTE: pc=0000000080000230 inst=00128293 src1=0000000000000071 src2=0000000000000001 res=0000000000000072
CORE EXECUTE: pc=0000000080000234 inst=00128293 src1=0000000000000072 src2=0000000000000001 res=0000000000000073
CORE EXECUTE: pc=0000000080000238 inst=00128293 src1=0000000000000073 src2=0000000000000001 res=0000000000000074
CORE EXECUTE: pc=000000008000023c inst=00128293 src1=0000000000000074 src2=0000000000000001 res=0000000000000075
CORE EXECUTE: pc=0000000080000240 inst=00128293 src1=0000000000000075 src2=0000000000000001 res=0000000000000076
CORE EXECUTE: pc=0000000080000244 inst=00128293 src1=0000000000000076 src2=0000000000000001 res=0000000000000077
CORE EXECUTE: pc=0000000080000248 inst=00128293 src1=0000000000000077 src2=0000000000000001 res=0000000000000078
CORE EXECUTE: pc=000000008000024c inst=00128293 src1=0000000000000078 src2=0000000000000001 res=0000000000000079
CORE EXECUTE: pc=0000000080000250 inst=00128293 src1=0000000000000079 src2=0000000000000001 res=000000000000007a
CORE EXECUTE: pc=0000000080000254 inst=00128293 src1=000000000000007a src2=0000000000000001 res=000000000000007b
CORE EXECUTE: pc=0000000080000258 inst=00128293 src1=000000000000007b src2=0000000000000001 res=000000000000007c
CORE EXECUTE: pc=000000008000025c inst=00128293 src1=000000000000007c src2=0000000000000001 res=000000000000007d
CORE EXECUTE: pc=0000000080000260 inst=00128293 src1=000000000000007d src2=0000000000000001 res=000000000000007e
CORE EXECUTE: pc=0000000080000264 inst=00128293 src1=000000000000007e src2=0000000000000001 res=000000000000007f
CORE EXECUTE: pc=0000000080000268 inst=00128293 src1=000000000000007f src2=0000000000000001 res=0000000000000080
CORE EXECUTE: pc=000000008000026c inst=00128293 src1=0000000000000080 src2=0000000000000001 res=0000000000000081
CORE EXECUTE: pc=0000000080000270 inst=00128293 src1=0000000000000081 src2=0000000000000001 res=0000000000000082
CORE EXECUTE: pc=0000000080000274 inst=00128293 src1=0000000000000082 src2=0000000000000001 res=0000000000000083
CORE EXECUTE: pc=0000000080000278 inst=00128293 src1=0000000000000083 src2=0000000000000001 res=0000000000000084
CORE EXECUTE: pc=000000008000027c inst=00128293 src1=0000000000000084 src2=0000000000000001 res=0000000000000085
CORE EXECUTE: pc=0000000080000280 inst=00128293 src1=0000000000000085 src2=0000000000000001 res=0000000000000086
CORE EXECUTE: pc=0000000080000284 inst=00128293 src1=0000000000000086 src2=0000000000000001 res=0000000000000087
CORE EXECUTE: pc=0000000080000288 inst=00128293 src1=0000000000000087 src2=0000000000000001 res=0000000000000088
CORE EXECUTE: pc=000000008000028c inst=00128293 src1=0000000000000088 src2=0000000000000001 res=0000000000000089
CORE EXECUTE: pc=0000000080000290 inst=00128293 src1=0000000000000089 src2=0000000000000001 res=000000000000008a
CORE EXECUTE: pc=0000000080000294 inst=00128293 src1=000000000000008a src2=0000000000000001 res=000000000000008b
CORE EXECUTE: pc=0000000080000298 inst=00128293 src1=000000000000008b src2=0000000000000001 res=000000000000008c
CORE EXECUTE: pc=000000008000029c inst=00128293 src1=000000000000008c src2=0000000000000001 res=000000000000008d
CORE EXECUTE: pc=00000000800002a0 inst=00128293 src1=000000000000008d src2=0000000000000001 res=000000000000008e
CORE EXECUTE: pc=00000000800002a4 inst=00128293 src1=000000000000008e src2=0000000000000001 res=000000000000008f
CORE EXECUTE: pc=00000000800002a8 inst=00128293 src1=000000000000008f src2=0000000000000001 res=0000000000000090
CORE EXECUTE: pc=00000000800002ac inst=00128293 src1=0000000000000090 src2=0000000000000001 res=0000000000000091
CORE EXECUTE: pc=00000000800002b0 inst=00128293 src1=0000000000000091 src2=0000000000000001 res=0000000000000092
CORE EXECUTE: pc=00000000800002b4 inst=00128293 src1=0000000000000092 src2=0000000000000001 res=0000000000000093
CORE EXECUTE: pc=00000000800002b8 inst=00128293 src1=0000000000000093 src2=0000000000000001 res=0000000000000094
CORE EXECUTE: pc=00000000800002bc inst=00128293 src1=0000000000000094 src2=0000000000000001 res=0000000000000095
CORE EXECUTE: pc=00000000800002c0 inst=00128293 src1=0000000000000095 src2=0000000000000001 res=0000000000000096
CORE EXECUTE: pc=00000000800002c4 inst=00128293 src1=0000000000000096 src2=0000000000000001 res=0000000000000097
CORE EXECUTE: pc=00000000800002c8 inst=00128293 src1=0000000000000097 src2=0000000000000001 res=0000000000000098
CORE EXECUTE: pc=00000000800002cc inst=00128293 src1=0000000000000098 src2=0000000000000001 res=0000000000000099
CORE EXECUTE: pc=00000000800002d0 inst=00128293 src1=0000000000000099 src2=0000000000000001 res=000000000000009a
CORE EXECUTE: pc=00000000800002d4 inst=00128293 src1=000000000000009a src2=0000000000000001 res=000000000000009b
CORE EXECUTE: pc=00000000800002d8 inst=00128293 src1=000000000000009b src2=0000000000000001 res=000000000000009c
CORE EXECUTE: pc=00000000800002dc inst=00128293 src1=000000000000009c src2=0000000000000001 res=000000000000009d
CORE EXECUTE: pc=00000000800002e0 inst=00128293 src1=000000000000009d src2=0000000000000001 res=000000000000009e
CORE EXECUTE: pc=00000000800002e4 inst=00128293 src1=000000000000009e src2=0000000000000001 res=000000000000009f
CORE EXECUTE: pc=00000000800002e8 inst=00128293 src1=000000000000009f src2=0000000000000001 res=00000000000000a0
CORE EXECUTE: pc=00000000800002ec inst=00128293 src1=00000000000000a0 src2=0000000000000001 res=00000000000000a1
CORE EXECUTE: pc=00000000800002f0 inst=00128293 src1=00000000000000a1 src2=0000000000000001 res=00000000000000a2
CORE EXECUTE: pc=00000000800002f4 inst=00128293 src1=00000000000000a2 src2=0000000000000001 res=00000000000000a3
CORE EXECUTE: pc=00000000800002f8 inst=00128293 src1=00000000000000a3 src2=0000000000000001 res=00000000000000a4
CORE EXECUTE: pc=00000000800002fc inst=00128293 src1=00000000000000a4 src2=0000000000000001 res=00000000000000a5
CORE EXECUTE: pc=0000000080000300 inst=00128293 src1=00000000000000a5 src2=0000000000000001 res=00000000000000a6
CORE EXECUTE: pc=0000000080000304 inst=00128293 src1=00000000000000a6 src2=0000000000000001 res=00000000000000a7
CORE EXECUTE: pc=0000000080000308 inst=00128293 src1=00000000000000a7 src2=0000000000000001 res=00000000000000a8
CORE EXECUTE: pc=000000008000030c inst=00128293 src1=00000000000000a8 src2=0000000000000001 res=00000000000000a9
CORE EXECUTE: pc=0000000080000310 inst=00128293 src1=00000000000000a9 src2=0000000000000001 res=00000000000000aa
CORE EXECUTE: pc=0000000080000314 inst=00128293 src1=00000000000000aa src2=0000000000000001 res=00000000000000ab
CORE EXECUTE: pc=0000000080000318 inst=00128293 src1=00000000000000ab src2=0000000000000001 res=00000000000000ac
--- Simulation Finished. CSV generated: ftq_dump.csv ---
