--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=0000000000000110 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000114 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000118 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000011c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000120 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000124 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000128 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000012c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000130 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000134 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000138 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000013c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000140 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000144 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000148 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000014c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000150 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000154 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000158 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000015c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000160 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000164 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000168 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000016c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000170 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000174 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000178 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000017c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000180 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000184 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000188 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000018c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000190 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000194 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000198 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000019c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001a0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001a4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001a8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001ac inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001b0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001b4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001b8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001bc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001c0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001c4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001c8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001cc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001d0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001d4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001d8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001dc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001e0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001e4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001e8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001ec inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000001f0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
